序号	作物	成果名称	审定或鉴定单位	编号	时间	完成人	选育单位
190	棉花	华杂棉H834	湖北省农作物品种审定委员会	鄂审棉2019006号	20190808	郭小平，张献龙	华中农业大学
189	水稻	华两优6134	国家农作物品种审定委员会	国审稻20196190	2019	龙和平，牟同敏，周飞捷	袁隆平农业高科技股份有限公司，华中农业大学，湖南隆平种业有限公司，湖南民升种业科学研究院有限公司
188	水稻	华两优1642	国家农作物品种审定委员会	国审稻20196192	2019	欧阳爱辉，牟同敏，龙和平，周飞捷	袁隆平农业高科技股份有限公司，华中农业大学，湖南隆平种业有限公司，湖南民升种业科学研究院有限公司
187	水稻	华两优102	国家农作物品种审定委员会	国审稻20196194	2019	龙和平，牟同敏，廖翠猛，周飞捷	袁隆平农业高科技股份有限公司，华中农业大学，湖南隆平种业有限公司，湖南民升种业科学研究院有限公司
186	水稻	华两优10	湖南省农作物品种审定委员会	湘审稻20190036	2019	廖翠猛，牟同敏，龙和平，周飞捷	袁隆平农业高科技股份有限公司，华中农业大学，湖南隆平种业有限公司，湖南民升种业科学研究院有限公司
185	油菜	华油杂18	农业农村部	GPD油菜（2017）420079	2019	杨光圣	华中农业大学，武汉联农种业科技有限责任公司
184	油菜	华油杂28	农业农村部	GPD油菜（2019）420078	2019	杨光圣	华中农业大学，武汉联农种业科技有限责任公司
183	油菜	圣光136	农业农村部	GPD油菜（2019）420080	2019	杨光圣	华中农业大学，武汉联农种业科技有限责任公司
182	油菜	圣光168	农业农村部	GPD油菜（2019）420111	2019	杨光圣	华中农业大学，武汉联农种业科技有限责任公司
181	油菜	华油杂702	农业农村部	GPD油菜（2019）420071	20190613	涂金星	华中农业大学
180	油菜	华油杂704	农业农村部	GPD油菜(2019)420172	20190415	涂金星	华中农业大学
179	油菜	华油杂158	农业农村部	GPD油菜（2019）420029	20190412	沈金雄	华中农业大学
178	油菜	华油杂83	农业农村部	GPD油菜（2019）420051	20190531	沈金雄	华中农业大学
177	油菜	金油杂6号	农业农村部	GPD油菜（2019）420002	20190412	沈金雄	湖北国科高新技术有限公司，华中农业大学
176	油菜	华渝1号	农业农村部	GDP油菜（2019）500119	20190902	马朝芝	重庆三峡农业科学院，华中农业大学
175	油菜	华油杂652	农业农村部	GDP油菜（2019）420207	20190510	马朝芝	华中农业大学
174	油菜	华油杂901	农业农村部	GDP油菜（2019）420206	20190510	马朝芝	华中农业大学
173	油菜	华油2101	农业农村部	GPD油菜（2019）420208	2019	周永明	华中农业大学
172	玉米	喜来乐	国家农作物品种审定委员会	国审玉20196236	20191111	刘永忠等	广西兆和种业有限公司、华中农业大学、四川兆和种业有限公司
171	玉米	华玉20	湖北省农作物品种审定委员会	鄂审玉20190001	20190808	马克军，刘永忠等	华中农业大学
170	玉米	华甜玉6号	甘肃省农作物品种审定委员会	甘审玉20190085	20190228	邱法展	华中农业大学
169	玉米	康农玉868	湖北省农作物品种审定委员会	鄂审玉2019008	20190808	彭绪冰，邱法展	湖北康农种业股份有限公司，华中农业大学
168	棉花	华杂棉H116	江西省农作物品种审定委员会	赣审棉20180001	20180301	郭小平、张献龙	华中农业大学
167	棉花	华杂棉H922	江西省农作物品种审定委员会	赣审棉20180002	20180301	郭小平、张献龙	华中农业大学
湖北省农作物品种审定委员会	鄂审棉2019001	2019
166	水稻	华两优2802	湖北省农作物品种审定委员会	鄂审稻2018002	20180821	牟同敏、李春海、米甲明、彭斯敏	华中农业大学，武汉丰乐种业有限公司
165	玉米	华玉12	农业部国家农作物品种审定委员会	国审玉20180131	20180917	刘永忠	华中农业大学
164	玉米	华玉17	湖北省农作物品种审定委员会	鄂审玉2018008	20180821	刘永忠	华中农业大学，湖北谷神科技有限公司
163	玉米	华玉18	湖北省农作物品种审定委员会	鄂审玉2018009	20180821	刘永忠	华中农业大学
162	玉米	华玉19	湖北省农作物品种审定委员会	鄂审玉2018010	20180821	刘永忠	华中农业大学
161	玉米	丰玉268	湖北省农作物品种审定委员会	鄂审玉2018015	20180821	刘永忠	湖北丰农种业有限公司，华中农业大学
160	玉米	先农998	云南省农作物品种审定委员会	滇审玉2018005	20180914	刘永忠	华中农业大学
159	油菜	华油杂701	全国农业技术推广服务中心	GPD油菜(2018)420051	2018	涂金星	华中农业大学
158	油菜	华油杂705	全国农业技术推广服务中心	GPD油菜(2018)420102	2018	涂金星	华中农业大学
157	油菜	华油2129	全国农业技术推广服务中心	GPD油菜（2018）420416	2018	周永明	华中农业大学
156	油菜	华油杂76	新疆自治区	GPD油菜（2017）420024	2017	涂金星	华中农业大学
155	油菜	华油杂68	国家区试长江下游组	GPD油菜（2017）420201	2017	沈金雄	华中农业大学
154	油菜	华协油82	河南省区试	GPD油菜（2017）420206	2017	沈金雄	华中农业大学 上海市农业科学院
153	
华两优6号	湖北省农作物品种审定委员会	鄂审稻2017001	2017/6/1	牟同敏、李春海、孙焱、米甲明	华中农业大学、湖北谷神科技有限公司
152	
华两优2821	湖北省农作物品种审定委员会	鄂审稻2017003	2017/6/1	米甲明、李道龙、牟同敏、李春海	湖北省惠民农业科技有限公司、华中农业大学
151	
华1015S	湖北省农作物品种审定委员会	鄂审稻2017025	2017/6/1	牟同敏、姜洁锋、李春海、孙焱	华中农业大学
150	
华1201S	湖北省农作物品种审定委员会	鄂审稻2017026	2017/6/1	牟同敏、姜洁锋、陈屹、李春海	华中农业大学
149	
华1228S	湖北省农作物品种审定委员会	鄂审稻2017027	2017/6/1	米甲明、牟同敏、陈屹、姜洁锋	华中农业大学
148	
华两优284	国家农作物品种审定委员会	国审稻20176051	2017/6/29	牟同敏、王凯、李春海、张青	中国种子集团有限公司、华中农业大学
147	
华两优1511	国家农作物品种审定委员会	国审稻20176035	2017/6/29	牟同敏、王世才、李春海、吕德安	湖北省种子集团有限公司、华中农业大学
